word,start,end
<noise>,0.67,0.707125
i'm,0.707125,0.817125
sitting,0.817125,1.107125
here,1.107125,1.437125
now,1.437125,1.507125
scott,1.507125,2.007125
i,2.007125,2.047125
bet,2.047125,2.277125
you,2.277125,2.457125
on,2.457125,2.597125
monday,2.597125,2.857125
nights,2.857125,3.267125
game,3.267125,3.637125
tonight,3.687125,4.137125
nine,4.197125,4.437125
o'clock,4.437125,4.827125
la,4.877125,5.047125
la,5.047125,5.187125
la,5.187125,5.477125
so,5.477125,5.647125
and,5.647125,5.757125
so,5.757125,6.207125
will,6.207125,6.297125
win,6.297125,6.417125
<vocnoise>,6.417125,6.507125
<sil>,6.507125,7.237125
yknow,7.237125,7.467125
and,7.467125,7.897125
we,7.897125,7.957125
<sil>,8.007125,8.187125
don't,8.187125,8.457125
<sil>,8.457125,8.537125
exchange,8.747125,9.287125
any,9.287125,9.437125
money,9.437125,9.887125
or,9.887125,9.947125
have,9.947125,10.197125
any,10.197125,10.317125
money,10.317125,10.537125
figures,10.617125,10.987125
planned,10.987125,11.317125
out,11.317125,11.567125
just,11.567125,11.897125
<sil>,11.897125,11.977125
yknow,11.977125,12.337125
<sil>,12.337125,12.507125
oh,12.507125,13.087125
well,13.087125,13.257125
that's,13.257125,13.347125
your,13.347125,13.497125
team,13.497125,13.797125
that's,13.797125,13.977125
<sil>,13.977125,14.027125
my,14.027125,14.187125
team,14.187125,14.447125
lets,14.447125,14.762125
<sil>,14.762125,14.817125
go,14.817125,15.007125
at,15.007125,15.267125
it,15.267125,15.427125
<unknown-and>,15.557125,15.617125
<iver>,15.617125,15.657125
<sil>,15.657125,15.997125
yeah,15.997125,16.407125
<vocnoise>,16.407125,16.927125
<sil>,16.927125,17.077125
and,17.077125,17.297125
it,17.297125,17.417125
makes,17.417125,17.637125
it,17.637125,17.667125
<sil>,17.667125,17.807125
yknow,17.897125,18.157125
fun,18.157125,18.517125
so,18.517125,18.697125
you,18.697125,18.867125
can,18.867125,19.107125
<sil>,19.107125,19.167125
actually,19.167125,19.577125
see,19.577125,19.977125
what,19.977125,20.237125
<sil>,20.237125,20.937125
yknow,20.937125,21.107125
your,21.107125,21.667125
<sil>,21.667125,21.857125
studying,21.857125,22.367125
these,22.367125,22.537125
teams,22.537125,22.967125
<sil>,23.087125,23.247125
does,23.247125,23.607125
yknow,23.607125,23.947125
<vocnoise>,23.947125,24.757125
<sil>,24.757125,24.937125
you,24.937125,25.007125
can,25.007125,25.157125
go,25.157125,25.267125
a,25.267125,25.397125
whole,25.397125,25.637125
season,25.637125,26.227125
<sil>,26.227125,26.447125
yknow,26.447125,26.737125
seventeen,26.737125,27.287125
eighteen,27.287125,27.827125
and,27.827125,28.097125
o,28.097125,28.187125
<sil>,28.187125,28.247125
and,28.247125,28.707125
<sil>,28.707125,28.997125
nobody's,28.997125,29.712125
<sil>,29.712125,29.947125
pretty,30.187125,30.457125
much,30.457125,30.587125
coming,30.587125,30.927125
close,30.927125,31.267125
to,31.267125,31.377125
your,31.377125,31.587125
standard,31.587125,32.047125
and,32.047125,32.387125
<vocnoise>,32.767125,33.787125
<sil>,34.157125,34.257125
when,34.317125,34.477125
you,34.477125,34.667125
win,34.667125,34.767125
all,34.767125,35.027125
that,35.027125,35.117125
money,35.117125,35.397125
it's,35.397125,35.577125
just,35.577125,35.797125
like,35.797125,35.987125
yeah,35.987125,36.437125
when,36.437125,36.677125
you,36.677125,36.767125
lose,36.767125,36.957125
all,36.957125,37.097125
that,37.097125,37.187125
money,37.187125,37.387125
it's,37.387125,37.517125
like,37.517125,37.737125
<vocnoise>,37.787125,37.907125
<sil>,38.897125,38.977125
that's,39.287125,39.537125
it,39.537125,39.707125
<sil>,39.707125,39.767125
<laugh-i'm>,39.767125,39.937125
going,39.997125,40.677125
home,40.677125,41.517125
<laugh>,41.517125,41.737125
<vocnoise>,41.737125,42.157125
<laugh>,42.157125,42.327125
but,42.327125,42.497125
<sil>,42.497125,43.437125
i've,43.437125,43.727125
known,44.117125,44.687125
people,44.687125,45.007125
that,45.007125,45.147125
gamble,45.147125,45.747125
<sil>,45.747125,45.847125
yknow,45.927125,46.327125
compulsively,46.387125,47.357125
<sil>,47.357125,47.927125
i,48.207125,48.317125
mean,48.317125,48.437125
it's,48.437125,48.577125
like,48.577125,48.747125
a,48.747125,48.817125
<cutoff-g=gambler>,48.817125,49.037125
<sil>,49.037125,49.367125
gamblers,49.367125,50.017125
anonymous,50.017125,50.717125
<sil>,50.787125,50.867125
level,51.737125,52.147125
<sil>,52.807125,53.307125
i,53.307125,53.427125
couldn't,53.427125,53.937125
really,53.937125,54.147125
get,54.247125,54.357125
into,54.357125,54.737125
that,54.737125,55.007125
<sil>,55.007125,55.377125
number,55.377125,55.617125
one,55.617125,55.837125
i'm,55.837125,55.867125
not,55.867125,56.087125
the,56.087125,56.157125
richest,56.157125,56.477125
person,56.477125,56.957125
in,56.957125,57.037125
the,57.037125,57.097125
world,57.097125,57.217125
and,57.217125,57.437125
number,57.437125,57.747125
two,57.807125,58.167125
<sil>,58.167125,58.547125
just,58.547125,58.847125
<sil>,58.847125,59.097125
<vocnoise>,59.097125,59.167125
<sil>,59.367125,59.997125
little,59.997125,60.147125
money,60.147125,60.427125
here,60.497125,60.737125
is,60.737125,60.807125
one,60.807125,61.087125
thing,61.087125,61.397125
but,61.397125,61.627125
<sil>,61.627125,61.797125
when,61.797125,61.967125
you're,61.967125,62.177125
<cutoff-j=just>,62.177125,62.217125
<sil>,62.217125,62.247125
out,62.247125,62.437125
there,62.487125,62.712125
spending,62.712125,63.187125
your,63.187125,63.487125
<sil>,63.487125,64.337125
car,64.497125,64.797125
insurance,64.797125,65.327125
money,65.327125,65.597125
on,65.597125,66.257125
it,66.257125,66.327125
or,67.557125,67.617125
<vocnoise>,67.617125,67.697125
<sil>,67.697125,67.737125
rent,67.807125,68.147125
money,68.147125,68.487125
then,68.487125,68.847125
<sil>,68.847125,68.997125
you,68.997125,69.267125
got,69.267125,69.357125
a,69.357125,69.437125
real,69.437125,69.607125
problem,69.657125,70.177125
there,70.177125,70.397125
<sil>,70.687125,71.027125
i've,71.087125,71.247125
seen,71.247125,71.557125
guys,71.557125,71.817125
do,71.817125,71.997125
that,71.997125,72.247125
to,72.247125,72.317125
<sil>,72.317125,72.347125
go,72.347125,72.507125
down,72.507125,72.607125
to,73.747125,73.822125
scioto,73.822125,74.027125
downs,74.027125,74.347125
and,74.347125,74.667125
bet,74.667125,74.977125
the,74.977125,75.507125
<sil>,75.507125,75.857125
bet,75.857125,76.087125
the,76.087125,76.157125
farm,76.207125,76.637125
on,76.637125,76.977125
<sil>,76.977125,77.177125
one,77.177125,77.477125
horse,77.477125,77.847125
and,77.917125,78.207125
<sil>,78.207125,78.527125
wouldn't,78.807125,79.267125
even,79.267125,79.867125
do,79.867125,80.217125
anything,82.547125,82.717125
for,82.997125,83.097125
them,83.497125,83.657125
<sil>,84.247125,84.317125
<iver>,84.437125,84.667125
<sil>,84.927125,85.247125
well,87.067125,87.327125
you,87.327125,87.437125
got,87.437125,87.607125
the,87.677125,87.947125
<sil>,87.947125,88.557125
casinos,88.557125,89.427125
<sil>,89.427125,89.897125
river,89.977125,90.237125
boat,90.237125,90.427125
casinos,90.427125,91.037125
open,91.037125,91.467125
you,91.467125,91.547125
got,91.547125,91.787125
<sil>,91.787125,92.287125
all,92.287125,92.507125
the,92.507125,92.827125
<sil>,92.827125,93.207125
pretty,93.357125,93.607125
much,93.607125,93.757125
every,93.757125,94.257125
<sil>,94.257125,94.387125
store,94.387125,94.747125
on,94.747125,94.897125
the,94.897125,94.977125
corners,94.977125,95.497125
got,95.497125,95.637125
a,95.637125,95.797125
<sil>,95.797125,96.157125
lottery,96.157125,96.657125
machine,96.657125,97.237125
or,97.287125,97.357125
<sil>,97.357125,97.547125
tickets,97.547125,98.087125
<sil>,99.057125,99.217125
<iver>,99.217125,99.397125
<sil>,99.477125,99.857125
i,99.857125,99.897125
think,99.897125,100.077125
it,101.147125,101.177125
is,101.377125,101.407125
a,101.557125,101.717125
good,101.717125,101.837125
idea,101.837125,102.057125
because,102.057125,102.617125
i've,102.667125,103.137125
won,103.137125,103.517125
my,103.517125,103.667125
fair,103.667125,103.907125
share,103.907125,104.267125
of,104.267125,104.352125
money,104.352125,104.867125
<laugh-on_the_lottery>,104.867125,104.897125
<vocnoise>,104.897125,104.927125
<sil>,104.927125,104.957125
they,104.957125,105.327125
give,105.327125,105.607125
everybody,106.227125,106.817125
a,106.817125,107.077125
fair,107.167125,107.392125
chance,107.392125,107.737125
yknow,107.847125,108.127125
they,108.127125,108.267125
don't,108.267125,108.487125
<sil>,108.487125,108.837125
just,109.207125,109.577125
<sil>,109.677125,110.567125
minimize,110.567125,111.157125
it,111.157125,111.187125
to,111.187125,111.367125
one,111.367125,111.787125
or,111.787125,111.867125
two,111.917125,112.387125
<sil>,112.437125,112.637125
<vocnoise>,112.637125,112.807125
<sil>,112.807125,113.427125
yknow,113.427125,113.757125
<sil>,113.757125,114.067125
some,114.067125,114.327125
of,114.327125,114.427125
them,114.427125,114.527125
have,114.527125,114.907125
options,114.907125,115.467125
<sil>,115.467125,116.657125
and,116.657125,116.937125
some,116.937125,117.607125
of,119.397125,119.457125
them,120.477125,120.577125
don't,121.527125,121.677125
<sil>,121.877125,122.347125
<iver>,124.447125,125.487125
yeah,126.857125,127.237125
it's,127.287125,127.572125
<sil>,127.572125,127.967125
just,127.967125,128.237125
like,128.237125,128.547125
uh,128.547125,128.807125
<sil>,128.807125,129.167125
having,129.167125,129.557125
alcohol,129.557125,130.087125
around,130.087125,130.387125
<sil>,130.387125,131.197125
mean,131.197125,131.557125
<sil>,131.557125,131.747125
gambling,131.747125,132.207125
is,132.207125,132.407125
a,132.407125,132.637125
lot,132.637125,132.737125
like,132.737125,132.927125
alcohol,132.927125,133.427125
it,133.427125,133.467125
can,133.467125,133.707125
be,133.707125,134.017125
addicting,134.017125,134.637125
it,134.637125,134.877125
can,134.877125,134.937125
screw,134.937125,135.167125
your,135.167125,135.407125
life,135.407125,135.687125
up,135.687125,135.877125
and,135.967125,136.257125
<vocnoise>,136.257125,136.347125
<sil>,136.347125,136.837125
you'll,136.837125,137.007125
spend,137.117125,137.407125
your,137.407125,137.527125
last,137.527125,137.837125
dollar,137.837125,138.227125
on,138.227125,138.377125
it,138.377125,138.557125
if,138.557125,138.627125
you're,138.627125,138.967125
that,139.147125,139.417125
far,139.467125,139.807125
gone,139.807125,140.267125
<sil>,140.267125,141.537125
so,141.537125,141.787125
pretty,141.787125,142.107125
much,142.107125,142.347125
anything,142.407125,142.907125
can,142.907125,143.127125
be,143.127125,143.517125
<sil>,143.997125,144.127125
one,144.347125,144.627125
of,144.627125,144.687125
those,144.687125,145.237125
factors,145.437125,146.157125
<laugh>,146.687125,147.647125
<vocnoise>,147.847125,148.897125
<iver>,148.967125,149.527125
<sil>,151.487125,151.737125
well,152.127125,152.207125
most,152.697125,153.197125
people,153.197125,153.547125
think,153.547125,153.887125
it's,153.887125,154.347125
<sil>,154.347125,154.537125
something,154.537125,155.007125
they,155.007125,155.157125
rely,155.157125,155.327125
on,155.327125,155.817125
like,155.817125,156.027125
<sil>,156.077125,156.277125
well,156.417125,156.672125
the,156.672125,156.867125
<unknown>,156.867125,156.947125
<sil>,156.947125,156.997125
money,156.997125,157.277125
getting,157.277125,157.747125
<sil>,158.237125,158.307125
from,158.517125,158.647125
the,158.647125,158.777125
lottery,158.777125,159.297125
to,159.297125,159.497125
the,159.497125,159.577125
people,159.577125,159.947125
or,159.947125,160.337125
<sil>,160.407125,160.637125
lottery,160.737125,161.067125
to,161.067125,161.237125
schools,161.237125,161.867125
<vocnoise>,161.867125,161.957125
<sil>,161.957125,162.747125
on,162.747125,162.827125
that,162.827125,163.047125
issue,163.047125,163.507125
then,163.507125,163.877125
yeah,163.877125,164.337125
i,164.337125,164.377125
<sil>,164.377125,164.497125
i,164.687125,164.807125
agree,164.807125,165.117125
with,165.117125,165.227125
<sil>,165.227125,165.512125
the,165.512125,165.677125
gambling,165.737125,166.297125
thing,166.397125,166.697125
<sil>,166.697125,166.847125
yknow,167.387125,167.747125
<sil>,167.747125,167.987125
just,167.987125,168.207125
as,168.207125,168.267125
long,168.267125,168.497125
as,168.497125,168.637125
it's,168.637125,169.017125
<sil>,169.017125,169.187125
<vocnoise>,169.187125,169.927125
<sil>,169.927125,170.087125
like,170.087125,170.247125
<sil>,170.247125,170.397125
social,170.397125,170.957125
drinking,170.957125,171.337125
<sil>,171.337125,171.647125
<laugh>,171.647125,172.027125
<vocnoise>,172.277125,172.507125
<sil>,172.507125,172.547125
in,172.547125,172.767125
a,172.767125,172.817125
sense,172.817125,173.357125
<sil>,173.407125,173.787125
because,173.787125,174.147125
if,174.147125,174.207125
you,174.257125,174.377125
have,174.377125,174.727125
people,174.727125,175.147125
just,175.147125,175.447125
<vocnoise>,175.447125,175.547125
<sil>,175.547125,176.087125
go,176.087125,176.387125
out,176.387125,176.487125
<sil>,176.487125,176.737125
like,176.737125,176.902125
today,176.902125,177.137125
i,177.137125,177.337125
<cutoff-b=bought>,177.337125,177.747125
<sil>,177.747125,177.777125
i,177.997125,178.097125
bought,178.097125,178.327125
a,178.327125,178.407125
one,178.407125,178.607125
dollar,178.607125,178.947125
lottery,178.947125,179.257125
ticket,179.257125,179.647125
won,179.647125,179.817125
two,179.817125,179.997125
bucks,179.997125,180.267125
off,180.267125,180.477125
of,180.477125,180.607125
it,180.607125,180.677125
<sil>,181.697125,181.977125
so,181.977125,182.167125
i,182.167125,182.207125
kept,182.207125,182.427125
my,182.427125,182.597125
one,182.597125,182.797125
dollar,182.797125,183.417125
and,183.417125,183.637125
uh,183.637125,183.677125
<sil>,183.677125,183.947125
got,183.947125,184.097125
a,184.097125,184.157125
one,184.157125,184.327125
dollar,184.327125,184.997125
added,189.617125,189.907125
on,189.907125,190.057125
<sil>,191.507125,191.757125
yeah,192.317125,192.507125
there's,192.627125,193.367125
<vocnoise>,193.367125,194.057125
<laugh>,194.147125,194.857125
<sil>,194.937125,195.357125
and,195.567125,195.767125
then,196.737125,197.107125
<sil>,197.107125,197.477125
then,197.477125,197.667125
there's,197.667125,197.887125
these,197.887125,198.327125
um,198.327125,198.447125
<noise>,198.787125,199.127125
little,199.877125,200.047125
bit,200.047125,200.187125
more,200.187125,200.397125
expensive,200.397125,200.907125
cards,200.907125,201.467125
you,201.467125,201.607125
buy,201.607125,201.937125
the,201.937125,202.167125
<sil>,202.247125,202.897125
lottery,202.897125,203.287125
cards,203.287125,203.757125
<sil>,203.757125,203.837125
one,203.837125,203.947125
of,203.947125,204.017125
them's,204.017125,204.237125
called,204.237125,204.537125
battleship,204.537125,205.147125
that,205.147125,205.237125
i've,205.237125,205.487125
<sil>,205.487125,205.607125
won,205.937125,206.217125
<sil>,206.217125,206.397125
lot,206.467125,206.567125
of,206.567125,206.727125
money,206.727125,206.977125
off,206.977125,207.187125
of,207.187125,207.367125
<iver>,207.627125,208.057125
<sil>,208.387125,209.197125
well,212.237125,212.567125
you,212.567125,212.757125
hafta,212.757125,213.117125
<iver>,213.117125,213.317125
<sil>,213.317125,213.847125
it's,213.847125,214.037125
just,214.037125,214.177125
like,214.177125,214.337125
bingo,214.337125,215.137125
numbers,215.827125,217.987125
<sil>,217.987125,218.297125
<iver>,218.347125,218.537125
<vocnoise>,219.237125,219.772125
<sil>,219.772125,219.857125
<vocnoise>,219.977125,220.247125
<sil>,220.357125,220.427125
and,220.957125,221.247125
you,221.247125,221.557125
uh,221.557125,221.757125
<sil>,221.757125,222.187125
it's,222.287125,222.397125
just,222.397125,222.567125
like,222.567125,222.717125
the,222.717125,222.777125
game,222.777125,223.027125
battleship,223.027125,223.582125
pretty,223.582125,223.807125
much,223.807125,223.987125
<sil>,224.117125,224.387125
yknow,224.387125,224.987125
<sil>,224.987125,225.057125
a,225.057125,225.097125
four,225.097125,225.447125
a,225.447125,225.487125
two,225.487125,225.627125
a,225.627125,225.667125
seven,225.747125,226.467125
<vocnoise>,226.467125,226.547125
<sil>,226.547125,226.867125
and,227.517125,227.957125
um,227.957125,228.057125
<sil>,228.057125,228.727125
well,229.197125,229.287125
off,229.287125,229.577125
a,229.577125,229.637125
three,229.717125,229.857125
dollar,229.857125,230.197125
one,230.197125,230.367125
i've,230.367125,230.627125
won,230.857125,231.317125
<sil>,231.317125,231.537125
probably,231.727125,232.317125
<vocnoise>,232.317125,234.347125
<sil>,234.347125,234.437125
four,234.437125,234.667125
out,234.667125,234.807125
of,234.807125,234.907125
five,234.967125,235.377125
<sil>,235.377125,235.947125
yknow,235.947125,236.267125
<sil>,236.267125,236.827125
in,237.437125,237.577125
that,237.577125,237.827125
<sil>,237.827125,238.387125
i,238.387125,238.437125
haven't,238.437125,238.877125
bought,238.877125,239.117125
that,239.117125,239.287125
many,239.287125,239.567125
of,239.567125,239.627125
them,239.627125,239.837125
but,239.837125,240.057125
in,240.227125,240.377125
that,240.377125,240.627125
<sil>,240.627125,240.707125
race,240.707125,240.997125
<sil>,241.197125,241.327125
right,241.327125,241.522125
there,241.522125,241.797125
four,241.897125,242.127125
out,242.127125,242.207125
of,242.207125,242.287125
fives,242.337125,242.677125
not,242.677125,242.812125
too,242.812125,242.987125
bad,242.987125,243.277125
<sil>,243.717125,244.277125
got,245.037125,245.247125
my,245.247125,245.397125
mom,245.397125,245.737125
one,245.737125,245.977125
on,245.977125,246.137125
her,246.137125,246.267125
birthday,246.267125,246.707125
she,246.707125,246.867125
got,246.867125,247.037125
fifteen,247.097125,247.457125
dollars,247.457125,247.737125
<sil>,247.847125,249.677125
and,250.667125,251.237125
<sil>,251.237125,251.587125
the,251.587125,251.707125
other,251.707125,251.837125
times,251.837125,252.177125
i,252.177125,252.217125
get,252.217125,252.307125
them,252.307125,252.617125
i,252.617125,252.657125
either,252.657125,253.137125
win,253.137125,253.597125
<sil>,253.597125,254.227125
my,254.227125,254.347125
three,254.407125,254.627125
dollars,254.627125,254.867125
back,254.867125,255.217125
<sil>,255.217125,255.947125
or,255.947125,256.357125
<sil>,256.357125,256.457125
i,256.657125,256.777125
won,256.777125,257.107125
nine,257.107125,257.537125
dollars,265.107125,265.937125
<sil>,265.937125,265.997125
hm,266.337125,266.497125
<iver>,266.697125,266.927125
<sil>,267.287125,267.647125
yeah,267.647125,268.117125
<sil>,268.447125,268.917125
<iver>,269.027125,269.557125
<laugh>,269.677125,271.457125
<iver>,272.317125,272.687125
yeah,273.067125,273.477125
<sil>,273.477125,273.997125
that,274.427125,274.567125
could,274.567125,274.707125
really,274.707125,275.007125
bite,275.007125,275.257125
you,275.257125,275.387125
in,275.387125,275.467125
the,275.467125,275.547125
