word,start,end
we,0.0,0.6198460496550519
know,0.6198460496550519,0.6802575035619659
that,1.2642348913288008,1.5864293121656754
we,1.7878008251887219,1.8280751277933314
live,1.9488980356071592,1.9690351869094638
in,2.371778212955557,2.77452123900165
a,3.2175385676523525,3.600144442396141
big,3.9022017119307106,4.425767645790631
old,4.425767645790631,5.050019336162076
galaxy,5.050019336162076,5.8353682369519575
in,5.8353682369519575,6.419345624718793
a,6.419345624718793,6.620717137741839
big,6.620717137741839,6.942911558578714
old,6.942911558578714,7.003323012485628
universe,7.526888946345549,7.587300400252462
